,timestamp,node,dataset,opt,opt1,neighbors,opChange,homophily,orientation,neighborsOps,error,estOp,openMindedness,nactiveint,orientation-1,date
0,1,19,guncontrol,0.791209718,0.6582426286249999,"[3684, 3644, 241, 3795, 4163, 4218, 4069, 3524, 2287, 3238, 184, 1240, 3755, 4035, 3642, 3564, 4080, 3495, 3412, 3627, 4215, 4045, 3662, 2192, 3911, 3658, 4159, 3987, 4120, 4179, 971, 3461, 3877, 1542, 479, 3874, 87, 3592, 4033, 4168, 3474, 4201, 3729, 1550, 3754, 3855, 3457, 3414, 3441, 3430, 3983, 3680]",-0.132967089375,0.0,Republican,"[0.7825630960000001, 0.7825630960000001, 0.7825630960000001, 0.7825630960000001, 0.7825630960000001, 0.7676753733333334, 0.8278784, 0.7391924322105263, 0.7391924322105263, 0.7391924322105263, 0.877400072631579, 0.877400072631579, 0.7047921622, 0.8798010449999999, 0.8798010449999999, 0.8798010449999999, 0.8798010449999999, 0.8798010449999999, 0.8798010449999999, 0.8891380520000001, 0.8891380520000001, 0.6873693133333333, 0.8956673966666667, 0.6697039023333332, 0.6697039023333332, 0.6685698800000001, 0.6332737675, 0.6332737675, 0.6253383091999999, 0.6253383091999999, 0.957605135, 0.6202254510370371, 0.9664401, 0.9664401, 0.9781352925, 0.97818968, 0.97818968, 0.97894586, 0.97894586, 0.9811878, 0.9811878, 0.9820686, 0.9822139, 0.98388565, 0.9855468, 0.9855468, 0.991562925, 0.9916654685714288, 0.9916654685714288, 0.9916654685714288, 0.9951239, 0.5738557909090911, 0.5234436820000001, 0.5199683638888888, 0.51488076, 0.5112989268749999, 0.5112989268749999, 0.499601715, 0.499601715, 0.499601715, 0.499601715, 0.499601715, 0.47340905262500005, 0.4597697505518518, 0.4305911641126129, 0.4305911641126129, 0.4305911641126129, 0.4305911641126129, 0.4305911641126129, 0.4305911641126129, 0.41270700228, 0.41270700228, 0.41270700228, 0.41270700228, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3447300926666667, 0.3447300926666667, 0.3447300926666667, 0.31516788036363635, 0.31516788036363635, 0.2765771465, 0.23830298, 0.23830298, 0.23830298, 0.23830298, 0.17656566280000002, 0.17656566280000002, 0.17656566280000002, 0.11243765, 0.06923831, 0.06923831, 0.05332477499999999, 0.05332477499999999, 0.046426633499999995, 0.046426633499999995, 0.032764465, 0.032362431000000004, 0.032362431000000004, 0.025044894, 0.020251535, 0.020251535]",0.003685858782763285,0.6619284874077632,0.15793595049999998,13,,01-07/01
1,1,25,guncontrol,0.027214492000000003,0.42606026441666667,"[617, 3601, 440, 384, 2073, 3238, 241, 80, 418, 3506, 479, 3245, 1804, 971, 3414, 3834, 3473, 1055, 818, 3969, 2638, 3907, 3905, 2575, 3547, 3565, 4050, 4068, 2180, 2780]",0.3988457724166667,0.0,Democrat,"[0.10938106, 0.11974163372500002, 0.11974163372500002, 0.18963604, 0.18963604, 0.31516788036363635, 0.3301303085178572, 0.3301303085178572, 0.36535960166666653, 0.37540636457142856, 0.37540636457142856, 0.38346408568, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.4129937260916668, 0.43815073, 0.4545617821538462, 0.4597697505518518, 0.4597697505518518, 0.4597697505518518, 0.504012154, 0.5071797310555556, 0.5071797310555556, 0.5187831625, 0.5187831625, 0.5187831625, 0.5187831625, 0.5187831625, 0.5187831625, 0.5187831625, 0.5240060314999999, 0.5383352174705882, 0.6166973122857143, 0.6166973122857143, 0.6166973122857143, 0.6202254510370371, 0.66094296, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.8777093, 0.91411855, 0.91411855, 0.91411855, 0.951247325, 0.9665256, 0.9665256, 0.98359513, 0.98359513, 0.98619545, 0.98619545, 0.98713644, 0.98713644, 0.995961085, 0.995961085]",0.007595448887255829,0.41846481552941084,0.410936238,18,,01-07/01
2,1,80,guncontrol,0.5187831625,0.511588422,"[25, 3430, 3950, 3481, 3844, 3565, 90, 227, 3594, 1237, 241, 3979, 4221, 3473, 3506, 4211, 2287, 381, 3238, 4133, 2180, 384, 1832, 1232, 971, 3834, 3862, 1344, 3607, 3581, 3597, 3907, 3551, 479, 1055, 4234, 3801, 3537, 4048, 3788, 3463, 3509, 3613, 3868]",-0.007194740500000019,0.0,Moderate,"[0.5199247152894739, 0.5112989268749999, 0.5071797310555556, 0.5071797310555556, 0.5071797310555556, 0.498188941, 0.498188941, 0.5643328291818182, 0.5643328291818182, 0.5740986121666668, 0.4597697505518518, 0.4597697505518518, 0.4545617821538462, 0.4416504195454545, 0.4416504195454545, 0.60504776, 0.60504776, 0.60504776, 0.60504776, 0.41797414, 0.41797414, 0.41797414, 0.41797414, 0.6202254510370371, 0.4129937260916668, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.6330333792857142, 0.3847222135515529, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.6603971406666668, 0.66094296, 0.66094296, 0.37584668325, 0.37584668325, 0.37584668325, 0.37584668325, 0.37584668325, 0.37584668325, 0.37584668325, 0.37540636457142856, 0.37540636457142856, 0.37540636457142856, 0.37540636457142856, 0.37540636457142856, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.741247998, 0.741247998, 0.2765771465, 0.2765771465, 0.8253186224285715, 0.9177874361428572, 0.9177874361428572, 0.9177874361428572, 0.9177874361428572, 0.9177874361428572, 0.9177874361428572, 0.92630618, 0.10938106, 0.10938106, 0.10938106, 0.10938106, 0.9425400966666668, 0.9425400966666668, 0.9425400966666668, 0.9425400966666668, 0.09301453, 0.94999135, 0.9523364, 0.9523364, 0.9523364, 0.9523364, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.07624157, 0.96340585, 0.97375387, 0.9816302616666666, 0.9816302616666666, 0.98359513, 0.98359513, 0.9849904, 0.99029315, 0.9907607, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143, 0.027214492000000003, 0.027214492000000003, 0.027214492000000003, 0.027214492000000003, 0.027214492000000003, 0.027214492000000003, 0.027214492000000003, 0.018760426, 0.016639983]",0.0001670837319086571,0.5114213382680913,0.48393307607142855,96,,01-07/01
3,1,90,guncontrol,0.92630618,0.9832500200000002,"[80, 227, 3499, 241, 4021, 4029, 3209, 1659, 2192, 4150, 4163, 2807, 633, 1838]",0.05694384000000019,0.0,Republican,"[0.96777827, 0.8798010449999999, 0.9854533, 0.9917617, 0.99641573, 0.7047921622, 0.6697039023333332, 0.604763891, 0.5740986121666668, 0.5740986121666668, 0.5411419183333334, 0.5187831625, 0.50128833725, 0.094257824, 0.010814082]",0.00025763687499980037,0.983507656875,0.07010955000000008,1,,01-07/01
4,1,156,guncontrol,0.6703704859444446,0.7074894773953492,"[3401, 87, 3913, 3477, 3497, 3690, 3954, 3775, 4106, 3827, 4108, 235, 3622, 4222, 3959, 3951, 3706, 4096, 878, 2615, 3721]",0.03711899145090458,0.0,Republican,"[0.6622350182222223, 0.6622350182222223, 0.6525281156029403, 0.634568728375, 0.7071176290000001, 0.7071176290000001, 0.7071176290000001, 0.6132111223181819, 0.6132111223181819, 0.6132111223181819, 0.6132111223181819, 0.7391924322105263, 0.7391924322105263, 0.556711825, 0.556711825, 0.556711825, 0.556711825, 0.5437324017142857, 0.538085365, 0.538085365, 0.538085365, 0.510851111, 0.8346087200000001, 0.8346087200000001, 0.9363844, 0.94008785, 0.94008785, 0.94008785, 0.94008785, 0.94008785, 0.38240084, 0.376075001, 0.376075001, 0.376075001, 0.3722424330909091, 0.9795451, 0.98004261, 0.98004261, 0.98004261, 0.9941147, 0.9941147, 0.29877306485714283, 0.29877306485714283, 0.2588700763571429, 0.2588700763571429]",0.0015564906991828442,0.709045968094532,0.06882194626608173,0,,01-07/01
5,1,199,guncontrol,0.5072878196666667,0.016769404155555553,"[3710, 1117, 3874, 2065, 4087, 2512, 2615, 2192, 3833, 2287]",-0.49051841551111114,0.0,Moderate,"[0.505047366, 0.5112989268749999, 0.526177725, 0.3722424330909091, 0.7047921622, 0.7605537293636364, 0.7605537293636364, 0.8891380520000001, 0.8891380520000001, 0.9742582000000001, 0.9742582000000001, 0.9742582000000001, 0.98906845, 0.015473139, 0.015473139]",0.2382376164758609,0.25500702063141645,0.49181468066666667,3,,01-07/01
6,1,209,guncontrol,0.5029772363333334,0.6634825879999999,"[3428, 2356, 3901, 3457, 3478, 3924, 4163, 3635, 4194, 4201, 3967, 3833, 1055, 3960, 3832, 3670, 3783, 1775, 2638, 3916, 2807, 3664, 3742, 3633, 3849, 4152, 2585, 3815, 1420, 3259, 3450, 4082, 2065, 3632, 3650, 4085, 3209, 1658, 3732, 2192, 2287, 1237, 4225]",0.16050535166666657,0.0,Moderate,"[0.5083370556666666, 0.5083370556666666, 0.5112989268749999, 0.4942762795, 0.4942762795, 0.490495383, 0.48322442600000004, 0.48322442600000004, 0.526177725, 0.526177725, 0.537689525, 0.5411419183333334, 0.5411419183333334, 0.41797414, 0.4129937260916668, 0.4129937260916668, 0.4129937260916668, 0.395740249625, 0.61356120875, 0.6520371033333333, 0.6520371033333333, 0.67756542, 0.67756542, 0.67756542, 0.67756542, 0.67756542, 0.7047921622, 0.29909012464, 0.7257957650000001, 0.7257957650000001, 0.7257957650000001, 0.7257957650000001, 0.7605537293636364, 0.7723512010000001, 0.21028925, 0.17656566280000002, 0.17656566280000002, 0.17656566280000002, 0.17656566280000002, 0.8550223819999999, 0.8550223819999999, 0.8798010449999999, 0.8798010449999999, 0.11974163372500002, 0.90405348, 0.09857506, 0.085305355, 0.085305355, 0.950479, 0.054153447, 0.05332477499999999, 0.95523226, 0.95523226, 0.95523226, 0.95523226, 0.95523226, 0.044398029200000015, 0.044398029200000015, 0.96777827, 0.979646685, 0.979967855, 0.97997802, 0.981625, 0.9868293, 0.9914716999999998, 0.011166073, 0.99700886, 0.9980186, 0.9981583, 0.9981583, 0.9981583]",0.001114776446927479,0.6623678115530724,0.17458818366666662,9,,01-07/01
7,1,218,guncontrol,0.2001126566257576,0.1732428162595856,[4159],-0.026869840366172015,0.0,Democrat,[0.7825630960000001],0.026869840366172015,0.2001126566257576,0.0,0,,01-07/01
8,1,227,guncontrol,0.5740986121666668,0.016003483,"[80, 90, 3450, 1344, 3506, 3524, 3031, 4136, 2823, 1232, 3238, 3594, 3245, 3820, 479, 3547, 3565, 241, 3516, 3752, 3884, 3969, 3979, 3563, 3993, 1550, 384, 3164, 418, 432, 4105, 3717, 678, 3868]",-0.5580951291666668,0.0,Moderate,"[0.5643328291818182, 0.5643328291818182, 0.59979632185, 0.5383352174705882, 0.6202254510370371, 0.6264236800999999, 0.6264236800999999, 0.5199247152894739, 0.5187831625, 0.51488076, 0.5071797310555556, 0.5071797310555556, 0.5071797310555556, 0.6697039023333332, 0.6697039023333332, 0.6697039023333332, 0.6892455940000001, 0.7310343300000001, 0.416343927, 0.3945773416666667, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.3847222135515529, 0.38346408568, 0.38346408568, 0.38346408568, 0.38346408568, 0.37540636457142856, 0.35893148666666663, 0.35893148666666663, 0.2931571650833333, 0.2931571650833333, 0.2931571650833333, 0.2931571650833333, 0.2931571650833333, 0.8777093, 0.8777093, 0.8777093, 0.8956673966666667, 0.92630618, 0.92630618, 0.95090204, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.9587888, 0.188687575, 0.9647973014285716, 0.96967524, 0.97375387, 0.97997802, 0.98461455, 0.98619545, 0.98713644, 0.9966409, 0.03485008642857143, 0.03485008642857143, 0.03485008642857143]",0.13815810549463547,0.15416158849463546,0.5392485257380953,31,,01-07/01
9,1,235,guncontrol,0.6525281156029403,0.3381063072368421,"[3416, 3437, 1358, 156, 3996, 241, 3752, 4172, 3819]",-0.31442180836609823,0.0,Republican,"[0.666518970857143, 0.6697039023333332, 0.6703704859444446, 0.6745476181666668, 0.5314368935454545, 0.5314368935454545, 0.80158464, 0.9541611333333332, 0.9541611333333332, 0.9541611333333332, 0.990936, 0.2931571650833333, 0.2931571650833333, 0.2931571650833333, 0.2931571650833333, 0.2931571650833333]",0.0035426580529710483,0.33456364918387105,0.35937095051960705,5,,01-07/01
